"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Fzd8",319.606741391223,-0.46274692226909,0.106408977812628,1.82551951276851e-06,5.17708281658277e-05,"Fzd8","Yes","Fzd8"
"Large1",1248.90543740769,-0.385751064798182,0.0872270215584757,1.85300468650283e-06,5.24780103031731e-05,"Large1","Yes","Large1"
"Gm37728",18.6307897547784,1.25731744475294,0.305656542038577,1.86331490135793e-06,5.26975144286516e-05,"Gm37728","Yes","Gm37728"
"Akap8l",1795.19640682105,0.347611987183446,0.078123512558309,1.86924390085429e-06,5.27926785661028e-05,"Akap8l","Yes","Akap8l"
"Cmc1",607.817024951973,0.385955744322469,0.0862208185946445,1.8951365331187e-06,5.34506384662753e-05,"Cmc1","Yes","Cmc1"
"Cidec",92765.668934847,0.47493467386432,0.109959605557284,1.92887831921755e-06,5.43278737542683e-05,"Cidec","Yes","Cidec"
"Gm9856",37.9699709148036,0.815058525324856,0.195483728145566,1.93705295381185e-06,5.44835836967652e-05,"Gm9856","Yes","Gm9856"
"Nr1d1",21927.8156110762,0.383625715273496,0.0874160838982331,1.95863627810865e-06,5.50155011323043e-05,"Nr1d1","Yes","Nr1d1"
"Rps8",6170.12105120444,0.317477281421629,0.0709084431543462,1.97097386694001e-06,5.52866225428173e-05,"Rps8","Yes","Rps8"
"Kiz",740.610859922085,0.448417643429081,0.103405478075782,1.99164582864465e-06,5.57904707019928e-05,"Kiz","Yes","Kiz"
"Cd302",3080.84435452467,0.333253677529102,0.0749445048857239,2.00249620447766e-06,5.60181988505306e-05,"Cd302","Yes","Cd302"
"Aamp",5635.2618485283,0.127676313056087,0.0261540864024782,2.00579551887679e-06,5.60343608387439e-05,"Aamp","Yes","Aamp"
"Mmaa",815.016802748537,0.257636579830083,0.0565659590739076,2.01327999304319e-06,5.61672381799e-05,"Mmaa","Yes","Mmaa"
"Traf3",538.289107393386,-0.478710580794482,0.110188973586684,2.02451686158573e-06,5.64042999501875e-05,"Traf3","Yes","Traf3"
"Hrct1",397.790022046126,0.523629836910226,0.122198022465186,2.02891729655142e-06,5.64505111063475e-05,"Hrct1","Yes","Hrct1"
"Efr3a",3911.74040855989,-0.299595742958206,0.066746384606099,2.04626364385674e-06,5.68563052137199e-05,"Efr3a","Yes","Efr3a"
"Pgrmc2",8493.66458377718,0.235709931504978,0.0523565727792975,2.05716368215028e-06,5.70821334929813e-05,"Pgrmc2","Yes","Pgrmc2"
"Tyw5",683.41071408863,-0.818859335204292,0.202858441205711,2.06218034159763e-06,5.7144321740449e-05,"Tyw5","Yes","Tyw5"
"1700030K09Rik",302.47964248521,0.361344285697596,0.0816245453377977,2.07239491321854e-06,5.72732065345726e-05,"1700030K09Rik","Yes","1700030K09Rik"
"Blvra",1234.66717569849,-0.336569262921539,0.0759917868626738,2.07117414189893e-06,5.72732065345726e-05,"Blvra","Yes","Blvra"
"2810430I11Rik",114.847856544805,-0.898733537369359,0.221372230780891,2.09067217901626e-06,5.76603634463044e-05,"2810430I11Rik","Yes","2810430I11Rik"
"Sgf29",425.693445833447,0.308770439790482,0.068941052263032,2.09282823423923e-06,5.76603634463044e-05,"Sgf29","Yes","Sgf29"
"Tpt1",15427.2699088795,0.21366710198514,0.0464631204909345,2.09480556888803e-06,5.76603634463044e-05,"Tpt1","Yes","Tpt1"
"Gm17971",61.731438259974,-0.854360651181804,0.206726726562156,2.10614841470945e-06,5.78951798537421e-05,"Gm17971","Yes","Gm17971"
"Hsf1",684.558191986976,0.426999861035723,0.0983434491992782,2.13233131553387e-06,5.85367592740359e-05,"Hsf1","Yes","Hsf1"
