,baseMean,log2FoldChange,lfcSE,pvalue,padj,Genes,Sig,Labl
Sh2d3c,151.132994,-0.327418205,0.44426905,0.004087907,0.396292553,Sh2d3c,No,NA
Shank3,723.2669327,-2.22E-05,0.001442698,0.004172112,0.396292553,Shank3,No,NA
Tet3,2049.469161,-0.126698329,0.127169623,0.004234439,0.396292553,Tet3,No,NA
Tmsb10,932.7521825,-0.253805787,0.306360093,0.004279741,0.396292553,Tmsb10,No,NA
Pcdhb10,38.17618517,-1.24E-05,0.001442695,0.004345431,0.398386325,Pcdhb10,No,NA
4930430F08Rik,221.7817856,0.159916955,0.203528177,0.004370064,0.398420895,4930430F08Rik,No,NA
Lhx6,35.56319103,-8.45E-06,0.001442695,0.004393046,0.398420895,Lhx6,No,NA
Egr2,3423.905494,-0.200196273,0.209475615,0.004565455,0.409652416,Egr2,No,NA
Elmo1,124.5605901,-0.221906104,0.480935092,0.004550679,0.409652416,Elmo1,No,NA
Il2rg,53.13383134,-1.22E-05,0.001442695,0.004621658,0.412501291,Il2rg,No,NA
Ccnd1,162.1869455,-8.40E-06,0.00144269,0.004650234,0.412867383,Ccnd1,No,NA
AA467197,13.30304151,-6.05E-06,0.001442695,0.004692773,0.414462762,AA467197,No,NA
Ceacam1,87.75721742,-1.64E-05,0.001442695,0.004724077,0.415054482,Ceacam1,No,NA
Aen,786.1318211,0.20416314,0.343260796,0.004823926,0.415442461,Aen,No,NA
Aldh18a1,89.02605393,-1.76E-05,0.001442695,0.004827004,0.415442461,Aldh18a1,No,NA
Sdc3,250.9703802,-2.04E-05,0.001442695,0.004808082,0.415442461,Sdc3,No,NA
Speg,702.7467002,-1.71E-05,0.001442695,0.004769062,0.415442461,Speg,No,NA
Gm20518,5.098825457,-5.23E-06,0.001442695,0.004922525,0.416629441,Gm20518,No,NA
Plxnd1,3307.343031,-0.112678119,0.178355043,0.004923375,0.416629441,Plxnd1,No,NA
Ptpn22,9.119388758,-3.60E-05,0.001442912,0.004939587,0.416629441,Ptpn22,No,NA
Ptprb,1271.210881,-1.69E-05,0.001442695,0.004938681,0.416629441,Ptprb,No,NA
Cdc25c,11.50852087,-8.08E-06,0.001442695,0.004971761,0.417256883,Cdc25c,No,NA
Zfp467,1057.198854,-2.68E-05,0.001442693,0.005030962,0.420135099,Zfp467,No,NA
Gm47654,104.929728,2.23E-05,0.001442712,0.005055986,0.420144966,Gm47654,No,NA
Adgrf5,1921.06912,-1.68E-05,0.001442672,0.005243094,0.420866159,Adgrf5,No,NA
Arap3,348.8887234,-1.66E-05,0.001442694,0.005267833,0.420866159,Arap3,No,NA
Col4a1,70314.05526,-3.98E-05,0.001442689,0.005204866,0.420866159,Col4a1,No,NA
Fbxw9,272.1240341,-2.63E-05,0.001442682,0.005244211,0.420866159,Fbxw9,No,NA
Gm47122,7.913672043,-6.32E-06,0.001442695,0.005206216,0.420866159,Gm47122,No,NA
Gm9762,44.61971506,1.01E-05,0.001442696,0.005287236,0.420866159,Gm9762,No,NA
Ppp1r3c,503.036784,-1.57E-05,0.001442694,0.005177013,0.420866159,Ppp1r3c,No,NA
Ppp2r1b,11040.80348,3.50E-05,0.00144269,0.005289207,0.420866159,Ppp2r1b,No,NA
Rps19,6835.066354,5.82E-05,0.001442681,0.005268978,0.420866159,Rps19,No,NA
6430548M08Rik,339.1781639,-3.12E-05,0.001442687,0.005315777,0.420994535,6430548M08Rik,No,NA
Rgs12,300.5977053,-2.36E-05,0.001442692,0.005354474,0.422077673,Rgs12,No,NA
Trp53cor1,32.16511643,1.38E-05,0.001442713,0.005384273,0.42245259,Trp53cor1,No,NA
Arhgap19,191.5845913,2.97E-05,0.001442689,0.005563023,0.423151308,Arhgap19,No,NA
Armh4,18.83091837,-1.06E-05,0.001442701,0.005644024,0.423151308,Armh4,No,NA
B3gnt3,85.55857459,-1.73E-05,0.001442694,0.005637006,0.423151308,B3gnt3,No,NA
Ephb4,587.5255157,-6.00E-05,0.00144309,0.005496977,0.423151308,Ephb4,No,NA
F11r,808.107882,-3.20E-05,0.001442688,0.005585705,0.423151308,F11r,No,NA
Hic1,71.39057302,-1.09E-05,0.001442694,0.005590251,0.423151308,Hic1,No,NA
Lgi4,17.22573891,-8.72E-06,0.001442694,0.005562899,0.423151308,Lgi4,No,NA
Med6,291.4771008,3.31E-05,0.001442707,0.005429529,0.423151308,Med6,No,NA
Qk,9420.524197,3.30E-05,0.001442688,0.005560651,0.423151308,Qk,No,NA
Sat1,8098.921898,-0.126027604,0.701906739,0.005601243,0.423151308,Sat1,No,NA
Usp50,11.30379319,8.03E-06,0.001442695,0.005696047,0.425162049,Usp50,No,NA
Etl4,414.6719168,-2.22E-05,0.0014427,0.005741923,0.425832551,Etl4,No,NA
Gm37691,62.35465985,1.47E-05,0.001442696,0.005755517,0.425832551,Gm37691,No,NA
Rpl18a,6277.361234,0.063810566,0.104844235,0.00584613,0.430647885,Rpl18a,No,NA
Cd93,918.7571752,-2.01E-05,0.001442733,0.005954657,0.430841856,Cd93,No,NA
Gm5069,8.739210838,-7.06E-06,0.001442695,0.00592852,0.430841856,Gm5069,No,NA
Gucy1b1,79.5391953,-1.12E-05,0.001442684,0.005942945,0.430841856,Gucy1b1,No,NA
Prkch,213.3138764,-1.94E-05,0.00144269,0.00588168,0.430841856,Prkch,No,NA
Prss36,468.4337115,2.50E-05,0.001442679,0.006053087,0.430841856,Prss36,No,NA
Rgs5,1744.131264,-1.36E-05,0.001442683,0.006047185,0.430841856,Rgs5,No,NA
She,144.2596413,-1.54E-05,0.001442693,0.006022614,0.430841856,She,No,NA
Sparcl1,1970.638045,-0.000114759,0.001444917,0.005995642,0.430841856,Sparcl1,No,NA
Pla2g7,56.81392461,-1.22E-05,0.001442695,0.006196685,0.43739768,Pla2g7,No,NA
Prrx2,84.27390557,-1.33E-05,0.001442692,0.006233577,0.43739768,Prrx2,No,NA
Sdc1,287.9575817,1.88E-05,0.00144267,0.006214809,0.43739768,Sdc1,No,NA
Sprtn,858.494303,-4.38E-05,0.001442672,0.006248909,0.43739768,Sprtn,No,NA
Fmnl3,191.8234627,-8.73E-06,0.001442664,0.00629927,0.438549983,Fmnl3,No,NA
Rngtt,725.6005667,2.38E-05,0.001442328,0.006317366,0.438549983,Rngtt,No,NA
Cbr2,933.0584817,-1.38E-05,0.001442693,0.006508426,0.449961663,Cbr2,No,NA
Alx4,45.0193763,-8.84E-06,0.001442694,0.00668116,0.456293471,Alx4,No,NA
Gm49624,26.59952775,1.05E-05,0.001442694,0.00664573,0.456293471,Gm49624,No,NA
Mrc2,75.73374768,-1.68E-05,0.001442701,0.006673728,0.456293471,Mrc2,No,NA
Smarcd1,545.4425943,-3.80E-05,0.001442624,0.006779691,0.461155692,Smarcd1,No,NA
Gm42688,101.3636298,-4.42E-06,0.001442632,0.006809404,0.461316629,Gm42688,No,NA
Esam,461.6839918,-1.70E-05,0.001442692,0.006930033,0.463899735,Esam,No,NA
Pde9a,17.87024254,-7.37E-06,0.001442697,0.006929679,0.463899735,Pde9a,No,NA
Shroom4,135.9623375,-6.17E-06,0.001442656,0.006928632,0.463899735,Shroom4,No,NA
Gm37706,8.749780265,-5.76E-06,0.001442695,0.007075691,0.47050788,Gm37706,No,NA
Ruvbl1,658.1808292,4.19E-05,0.001442685,0.007084534,0.47050788,Ruvbl1,No,NA
Glb1,873.9738163,-4.24E-05,0.001442662,0.007215636,0.473620841,Glb1,No,NA
Magi2,89.37535388,1.55E-05,0.001442693,0.007180642,0.473620841,Magi2,No,NA
Rps23-ps1,1910.888619,3.86E-05,0.001442668,0.007188746,0.473620841,Rps23-ps1,No,NA
Baiap2l1,42.17755753,-1.09E-05,0.001442693,0.007348877,0.478641694,Baiap2l1,No,NA
Chaf1b,8.970326151,-5.77E-06,0.001442694,0.007321817,0.478641694,Chaf1b,No,NA
Cnih2,5.942244532,-5.11E-06,0.001442695,0.007432947,0.482255313,Cnih2,No,NA
Vmn2r56,10.00486535,5.92E-06,0.001442694,0.007499533,0.4847112,Vmn2r56,No,NA
Xist,8497.458164,-2.86E-05,0.001442791,0.007572621,0.48756696,Xist,No,NA
Tubb4a,18.98125439,-9.35E-06,0.001442692,0.007637683,0.489886236,Tubb4a,No,NA
Postn,479.0696236,-1.68E-06,0.001442667,0.007709024,0.492589121,Postn,No,NA
Notch3,486.3304857,-1.94E-05,0.001442707,0.007771058,0.493250525,Notch3,No,NA
Tmem81,47.19584254,-1.43E-05,0.00144269,0.007777855,0.493250525,Tmem81,No,NA
Igfbp7,5648.904097,-3.17E-05,0.001442672,0.007929264,0.497844351,Igfbp7,No,NA
Lctl,3499.958882,-1.92E-05,0.001442687,0.00793883,0.497844351,Lctl,No,NA
Ptgds,30.24724029,-8.22E-06,0.001442693,0.00789539,0.497844351,Ptgds,No,NA
Gm37352,58.62471842,-7.40E-06,0.001442664,0.008039009,0.501803603,Gm37352,No,NA
Meox1,38.02941449,-9.33E-06,0.001442695,0.008062598,0.501803603,Meox1,No,NA
Ubd,83.56752653,-1.40E-05,0.00144269,0.008091208,0.501803603,Ubd,No,NA
Inpp5j,29.98085091,-8.20E-06,0.001442694,0.008198868,0.50661797,Inpp5j,No,NA
Gja4,22.27559155,-1.06E-05,0.001442692,0.008311521,0.50984384,Gja4,No,NA
Schip1,34.63488084,-9.72E-06,0.001442692,0.008301393,0.50984384,Schip1,No,NA
BC023105,295.2763899,-1.36E-05,0.001442682,0.008419107,0.510226982,BC023105,No,NA
Dnajc4,930.080158,5.61E-05,0.001442648,0.008368952,0.510226982,Dnajc4,No,NA
Gm4951,650.500975,-2.92E-05,0.001442767,0.008417164,0.510226982,Gm4951,No,NA
Mfap2,7.285251428,-5.47E-06,0.001442694,0.008438753,0.510226982,Mfap2,No,NA
Entpd1,48.27017658,-1.89E-05,0.001442711,0.008502764,0.512261146,Entpd1,No,NA
Bend4,10.46522776,-5.36E-06,0.001442691,0.008642163,0.514403838,Bend4,No,NA
Ccdc85a,294.1769522,-1.33E-05,0.00144269,0.008667499,0.514403838,Ccdc85a,No,NA
Cnn3,285.9923171,-1.32E-05,0.001442673,0.008628922,0.514403838,Cnn3,No,NA
Dcxr,604.8378801,3.09E-05,0.001442587,0.008721293,0.514403838,Dcxr,No,NA
