"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Socs6",1330.99816432559,-2.65913998997087e-06,0.00144251936992421,0.821719759765396,0.989380836054069,"Socs6","No",NA
"Socs7",1006.62143213615,1.23318008901077e-05,0.00144253324786275,0.290314740262667,0.96988964270494,"Socs7","No",NA
"Sod1",12867.4187913429,6.89361146993191e-06,0.00144259668253433,0.43154455047902,0.970103412211959,"Sod1","No",NA
"Sod2",11127.01917856,-0.000100778771748355,0.00144437616101304,0.798919766747282,0.989380836054069,"Sod2","No",NA
"Sod3",10531.9811379474,-1.31570044215757e-05,0.00144249112554975,0.310582359817443,0.96988964270494,"Sod3","No",NA
"Soga1",801.474525006202,1.20643173655798e-07,0.0014426283359896,0.987517288064921,0.998289888308659,"Soga1","No",NA
"Soga3",2.76547446976711,6.66978896643452e-07,0.0014426940161801,0.653988254346514,NA,"Soga3",NA,NA
"Son",10223.9059599501,3.49675361115996e-06,0.00144234286899501,0.827523818674786,0.989380836054069,"Son","No",NA
"Sorbs1",19780.8414960312,-3.0037110721001e-06,0.00144259317581966,0.726495385035975,0.984375728988241,"Sorbs1","No",NA
"Sorbs2",43.6964074299622,-6.70225375257589e-06,0.001442692929147,0.0259727369609028,0.959528224506864,"Sorbs2","No",NA
"Sorbs2os",1.5498396608797,-4.76366994759037e-07,0.00144269391547781,0.595263423158255,NA,"Sorbs2os",NA,NA
"Sorbs3",223.141391398329,-2.48806793422427e-05,0.00144270768763065,0.0166836919254915,0.940146722264166,"Sorbs3","No",NA
"Sorcs1",0.687456688085504,2.00372400957992e-08,0.00144269468087862,0.827039499595565,NA,"Sorcs1",NA,NA
"Sorcs2",278.299278126785,-1.90838046289882e-06,0.00144269034718214,0.577694992563025,0.975794708309648,"Sorcs2","No",NA
"Sorcs3",0.530823950710446,3.10148759152036e-07,0.00144269491261847,0.481394911164452,NA,"Sorcs3",NA,NA
"Sord",3365.02674973928,2.011848605288e-05,0.00144262330225703,0.0470674364456764,0.959528224506864,"Sord","No",NA
